Comment,Time,Polarity,Sentiment,Subjectivity,Offensive?,Emotion
"I focus on my oath to my family, myself, to God. 💜🩹🕊️🤗👍🏼","2022-04-27
16:06:39",0.5994,positive,0.0,No,neutral
im 23 and I loved his music as a child and nowadays i'm relating to his music,"2022-04-27
14:29:21",0.5994,positive,0.8,No,love
"Something I love is how it's ambiguous who he's singing the song to... his fans, his friends, his wife, his children or himself.","2022-04-27
07:30:48",0.8074,positive,0.6,Yes,excitement
"I was watching colombiana movie at night.. This song was a sound track.. I had look for it.. It speaks volumes, 😢","2022-04-27
07:12:25",-0.4767,negative,0.4,Yes,confusion
NIN official video got only 1% or less the total views this got. Johnny Cash was great. But to ignore the original this much is a shame.,"2022-04-27
03:01:32",-0.4404,negative,0.5861111111111111,No,admiration
Rip Johnny we will miss you ):,"2022-04-27
01:09:31",-0.5267,negative,0.0,No,neutral
yep ........................,"2022-04-27
01:01:46",0.296,positive,0.0,No,approval
Gold ......pure gold,"2022-04-27
00:20:09",0.0,neutral,0.0,No,neutral
cry every time,"2022-04-26
23:47:53",-0.4767,negative,0.0,No,neutral
"It's so poetic, no words capture what's going on here. This, I think, has turned into the biggest song in his whole career, I'm not sure. But just imagine it... Even Trent Reznor agreed. He made this song his own. And Trent, probably one of the first of the rockers to mainstream singing about emotions this way.... And Johnny Cash 'out-emoted' him. 😳","2022-04-26
22:23:46",0.1103,positive,0.6744444444444444,Yes,approval
Where the invisible ninja cuts the onion? 🥲,"2022-04-26
18:05:43",-0.296,negative,0.0,Yes,neutral
Sometimes songs by others belong to someone else!! This belongs to Johnny Cash.,"2022-04-26
15:33:49",0.0,neutral,0.0,No,disapproval
🙏🙏🙏🙏🙏 god bless you Mr cash and your family,"2022-04-26
12:01:29",0.5994,positive,0.0,No,caring
Most heart touching good bye song ever,"2022-04-26
11:57:31",0.8251,positive,0.5333333333333333,No,admiration
This slaps,"2022-04-26
03:26:06",0.0,neutral,0.0,No,neutral
"' Eu sempre sei quem você é, Logan''♥️🇧🇷","2022-04-26
01:51:35",0.6369,positive,0.0,No,neutral
Logan..,"2022-04-26
01:33:55",0.0,neutral,0.0,No,neutral
"'I pop the video in, and wow... Tears welling, silence, goose-bumps... Wow. [I felt like] I just lost my girlfriend, because that song isn't mine anymore... It really made me think about how powerful music is as a medium and art form. I wrote some words and music in my bedroom as a way of staying sane, about a bleak and desperate place I was in, totally isolated and alone. [Somehow] that winds up reinterpreted by a music legend from a radically different era/genre and still retains sincerity and meaning – different, but every bit as pure.''        Trent Reznor","2022-04-26
01:31:57",0.4717,positive,0.7649999999999999,Yes,neutral
اتسائل احيانا هل الاسطورة جوني كاش لازال على قيد الحياة 🎹🎵🎧💔🙏,"2022-04-25
23:17:48",0.2732,positive,0.0,No,neutral
Wonder of ..think before you txt! J.C THE BEST!!!!!,"2022-04-25
23:17:07",0.7964,positive,0.3,Yes,admiration
'My empire of dirt'. This we all leave behind. No one can take it with them.,"2022-04-25
21:48:17",-0.5859,negative,0.7,No,neutral
"He is the best,look at him killing it as one of his last songs RIP Johnny Cash","2022-04-25
21:17:59",-0.6597,negative,0.06666666666666667,Yes,neutral
