Comment,Time,Polarity,Sentiment,Subjectivity,Offensive?,Emotion
"Called confirmation bias. They find the media that will affirm their beliefs, then use it as proof their beliefs are facts. It’s the same reason so many watch Fox News, OANN, and Newsmax. Quantity doesn’t equal quality, unless you think McDonalds is a 5 star restaurant.","2022-04-27
17:05:38",-0.1027,negative,0.2916666666666667,No,neutral
What an L for pakman. Knowles was kind and have you the floor and you get dismissive. Petty,"2022-04-26
03:53:40",0.7456,positive,0.9,No,neutral
This is simple IMO…'1. A Supreme Court justice is supposed to be apolitical ' unbiased. '2. Asking whether or the Supreme Court nominee can define a women shows whether or not she has a political bias. '3. She refused to answer ' that says EVERYTHING,"2022-04-25
17:45:59",0.836,positive,0.2285714285714286,Yes,neutral
Pakman is taking it easy on the boy,"2022-04-24
08:23:01",0.4404,positive,0.8333333333333334,No,admiration
"Okay, but what is a woman??😂","2022-04-24
08:02:14",0.6868,positive,0.5,No,caring
I’m not a meteorologist but I can tell you if it’s raining or not…'What type of rain is it? There are many differences in rain types.,"2022-04-24
01:47:39",0.5,positive,0.5,No,neutral
WTF…? The definition of a woman is a person who’s not a man???'That’s how basic the right are and also how misogynistic they are,"2022-04-24
01:44:46",0.14285714285714285,positive,0.33035714285714285,No,admiration
"This made you look horrible, David","2022-04-22
17:23:42",-0.5423,negative,1.0,No,fear
"All I can say - respect for Michael, his patience in these 'discussions' is admirable...","2022-04-22
16:35:38",0.7717,positive,0.0,No,approval
How can any legal decisions be made if we can’t agree on definitions of words.,"2022-04-22
13:59:54",0.4588,positive,0.2,No,annoyance
"When sending someone to prison, how do you choose that, male or female prison","2022-04-22
13:51:31",-0.765,negative,0.13333333333333333,No,disapproval
I wanna know why this guy is so obsessed with this topic.  It IS boring. And it’s fucking weird.,"2022-04-22
01:06:08",-0.6741,negative,1.0,Yes,neutral
"Great discussion, appreciate the good hearted debate. It’s really refreshing to see.","2022-04-21
18:31:49",0.8658,positive,0.7833333333333333,No,admiration
"As someone who would've liked to see David do well, he kind of embarrassed himself here","2022-04-21
11:01:34",0.2748,positive,0.8500000000000001,Yes,embarrassment
I did rewind and David is exactly right: this guy openly lied about something he had just said.  Oy veh.,"2022-04-21
07:51:40",-0.3818,negative,0.5178571428571428,No,approval
David Pakman has autism,"2022-04-21
06:47:53",0.0,neutral,0.0,No,neutral
Imagine posting a video of yourself getting roasted. Nice job!,"2022-04-21
01:59:24",0.4753,positive,1.0,No,admiration
Yes the question has a legal bearing. 'The definitions is all that matters in law. You are right laws are supposed to be narrow however they can not be in practice if definitions change. 'You are right you do not do definitions you do politics. Scary.,"2022-04-20
23:50:45",0.0258,neutral,0.5342857142857143,Yes,fear
David you are bold for posting this. You got sweeped man.,"2022-04-20
23:46:49",0.3818,positive,0.6666666666666666,No,neutral
"PAC MAN !  You ate Wills lunch , thank you !","2022-04-20
23:44:19",0.4738,positive,0.0,No,gratitude
"Of all people, David Pakman calling out senators for semantic tricks is hilarious. David’s entire game is acting polite and articulate whilst being disingenuous, condescending, and super righteous despite being a complete deplorable. The fact that he cares more about political strategy than truth shows all you need to know.","2022-04-20
18:52:07",0.886,positive,0.5101851851851851,Yes,amusement
I was always told not to use words I couldn't define.,"2022-04-20
16:37:52",0.0,neutral,0.0,No,admiration
