Comment,Time,Polarity,Sentiment,Subjectivity,Offensive?,Emotion
Pictorial metamorphosis 😁 so nice story. Song.,"2022-04-27
16:53:34",0.7264,positive,1.0,No,neutral
pero el estribillo es igual que la canción de rocket man no ??,"2022-04-27
16:48:40",-0.3736,negative,0.0,Yes,excitement
so cute,"2022-04-27
16:47:06",0.5095,positive,1.0,Yes,admiration
Classic 🥹,"2022-04-27
16:39:25",0.16666666666666666,positive,0.16666666666666666,No,neutral
Dua Lipa is on a whole another level.😍😋,"2022-04-27
14:40:38",0.4588,positive,0.4,No,neutral
this furry boy band &gt; bts,"2022-04-27
13:52:57",0.0,neutral,0.0,No,amusement
"My new favourite good mood song😁✨❤️🐼:''https://open.spotify.com/track/25KR00oIU5GC4NzN3gxnYt?si=_3mpjaBaSGq89tkW28vh0g"">https://open.spotify.com/track/25KR00oIU5GC4NzN3gxnYt?si=_3mpjaBaSGq89tkW28vh0g'","2022-04-27
12:50:40",0.4404,positive,0.5272727272727273,Yes,admiration
A voz da dua lipa é bonita de mais,"2022-04-27
10:31:08",0.0,neutral,0.0,No,neutral
What a mix! It's been a while... Good vibes,"2022-04-27
10:28:56",0.4926,positive,0.6000000000000001,Yes,approval
SUCH BEAUTIFUL MUSIC TOGETHER DUA LIPIA AND ELTON JOHN!!! I'M 63 AND GREAT DANCING MUSIC WITH MY GRANDDAUGHTERS.,"2022-04-27
09:22:09",0.907,positive,0.75,No,admiration
Очень красивый клип в исполнении элтона Джона  и молодой певицы дуалипы,"2022-04-27
06:19:00",0.0,neutral,0.0,No,neutral
"조회수 245,027,920회... 잘 보고 들었습니다.","2022-04-27
06:14:32",0.0,neutral,0.0,No,neutral
Expression of love and freedom in a beautiful song 🥰,"2022-04-27
05:47:24",0.9666,positive,0.8,No,admiration
What is with these doll things and it is addictive hahahaha I Iove it idk why haha,"2022-04-27
04:11:45",0.3818,positive,0.5666666666666667,No,amusement
"Loved the original, love this.","2022-04-27
03:38:10",0.886,positive,0.7166666666666667,Yes,love
Really it's just parts of Sacrifice and Rocketman. Two of Elton's masterpieces. I don't think this song is one of Elton's best performances.,"2022-04-27
03:19:17",0.8271,positive,0.25,No,admiration
ROCKET MAN,"2022-04-27
02:17:18",0.0,neutral,0.0,Yes,neutral
"And to this day, still stuck in my head and on repeat. Thanks daily radio station play.","2022-04-27
02:00:20",0.5106,positive,0.1,No,neutral
essa música está simplismente incrível,"2022-04-27
01:54:19",0.0,neutral,0.0,No,neutral
This song puts me in a good mood and I could listen to it over and over lol,"2022-04-27
01:37:48",0.6908,positive,0.65,No,admiration
Here because of PG 😂,"2022-04-27
01:01:44",0.4404,positive,0.0,No,neutral
This Is amazing!!,"2022-04-27
00:45:25",0.658,positive,0.9,No,admiration
"love a cats ,l have twice","2022-04-27
00:34:50",0.6369,positive,0.6,No,love
she epatajuro qalo,"2022-04-27
00:17:25",0.0,neutral,0.0,No,neutral
chemi cxovreba xar,"2022-04-27
00:17:12",0.0,neutral,0.0,No,neutral
dua lipa miyvarxarrr,"2022-04-27
00:17:02",0.0,neutral,0.0,No,neutral
"I love these two, awesome artists ... and the cat/kitty cartoons are a hit! Thanks!","2022-04-26
23:24:18",0.915,positive,0.6,No,admiration
Bam,"2022-04-26
22:53:13",0.0,neutral,0.0,No,neutral
Preciosa 💖 💎 💖 💎,"2022-04-26
21:42:39",0.9153,positive,0.0,No,neutral
"Ну как ни крути, сладко, совместили 4","2022-04-26
21:30:50",0.0,neutral,0.0,No,neutral
Working @ circle k ' bath ' body works got me liking this song,"2022-04-26
21:26:05",0.4019,positive,0.0,Yes,love
Vier wochen sind vergangen'Immer noch süchtig nach dem Song!!!!!!!!,"2022-04-26
19:11:22",0.0,neutral,0.0,No,neutral
"Day 152 of me listening to Cold Heart everyday for 1 year as a tribute to my grandma'Today emoji 🎵","2022-04-26
19:10:23",0.6369,positive,0.8,Yes,neutral
Disco NEVER DIED 🕺🕺🕺🎉🎉'VIBES ⚡️⚡️🔥🔥,"2022-04-26
18:42:50",0.6207,positive,0.0,No,neutral
Better the original,"2022-04-26
18:37:11",0.6369,positive,0.625,No,neutral
They are bad too bone,"2022-04-26
18:34:40",-0.5423,negative,0.6666666666666666,Yes,neutral
"Fico arrepiada , Dua Lipa tá fazendo historia. Ficou topppppppppppppp","2022-04-26
18:33:34",0.0,neutral,0.0,No,neutral
"One of the best songs/arrangements/ performers EVER,,  ticks all the boxes!!!","2022-04-26
18:05:07",0.7249,positive,0.3,No,admiration
I now feel the urge to dance for some reason 🕺,"2022-04-26
17:46:41",0.0,neutral,0.0,No,disappointment
Muy lindo tema,"2022-04-26
17:14:28",0.0,neutral,0.0,No,neutral
No lo había visto aún,"2022-04-26
17:05:38",-0.296,negative,0.0,No,neutral
Это волшебно я слушаю и прям наслаждаюсь Элтон и липа крутые,"2022-04-26
16:19:02",0.0,neutral,0.0,No,neutral
this song will probably win title of most annoying song.'no offense,"2022-04-26
15:48:39",-0.1171,negative,0.6,No,annoyance
"Save, save . Brazil   Rio de Janeiro.","2022-04-26
15:24:09",0.7506,positive,0.0,Yes,neutral
Why does Elton John sound like an Asian man who doesn't speak good English lol,"2022-04-26
15:10:44",0.4393,positive,0.33999999999999997,No,amusement
Piosenka spoko ale teledysk świetny pomysl,"2022-04-26
15:06:24",0.0,neutral,0.0,No,neutral
"I love this 80's style. I also know Let's Love- David Guetta, do u know any other song like this ?","2022-04-26
14:35:04",0.8979,positive,0.525,Yes,love
Люблю!!!!!!loveeeee!!!!,"2022-04-26
13:13:49",0.0,neutral,0.0,No,neutral
I never see more homophobic clip in my life.,"2022-04-26
11:44:56",0.5,positive,0.5,Yes,neutral
"Escuchar esto después de tener covid-19, es resucitar.","2022-04-26
09:33:30",0.0,neutral,0.0,No,neutral
ADDICTIVE,"2022-04-26
09:07:57",0.0,neutral,0.9,No,neutral
My 1 year old is obsessed with this song! Doesn’t stop singing it🤣😍,"2022-04-26
08:27:10",0.5562,positive,0.6,No,neutral
Yo this music video kind of creeps me out,"2022-04-26
08:07:04",0.6,positive,0.9,No,amusement
My Childhood song back again. love it,"2022-04-26
07:36:47",0.6369,positive,0.3,No,love
"Old lyrics, modern vibes","2022-04-26
05:29:05",0.15000000000000002,positive,0.25,Yes,curiosity
I really do love this song could haerd 👍👍,"2022-04-26
05:13:40",0.6682,positive,0.6,No,love
Those little figurines can dance better than me!,"2022-04-26
03:52:13",0.4926,positive,0.5,No,neutral
I get that dua lipa can't make more than a basic beat but why does she use such an ugly snare,"2022-04-26
03:38:03",-0.6652,negative,0.53125,Yes,neutral
Muy bueno la mezcla,"2022-04-26
02:18:29",0.0,neutral,0.0,No,neutral
This song looks like a fever dream,"2022-04-26
01:48:58",0.5423,positive,0.0,No,neutral
I thought the music video would just be dua lipa and Elton John but it was some gross 3D furry con lmaoo,"2022-04-25
23:15:45",-0.631,negative,0.0,Yes,neutral
"hermosso, hermoso, hermoso !!","2022-04-25
22:30:27",0.0,neutral,0.0,No,neutral
Wyjebane... Co mona innego napisać... Pozdrawiam,"2022-04-25
21:52:39",0.0,neutral,0.0,No,neutral
Qualidade ao extremo...,"2022-04-25
21:19:36",0.0,neutral,0.0,No,neutral
Day 151 of me listening to Cold Heart everyday for 1 year as a tribute to my grandma'Today emoji 🚧,"2022-04-25
21:08:20",0.6369,positive,0.8,Yes,neutral
Y me gusta muchoooo😍🥰😘,"2022-04-25
21:01:15",0.9201,positive,0.0,No,neutral
Linda!!!!,"2022-04-25
21:00:35",0.0,neutral,0.0,No,neutral
I don't really care for Elton John or his music but this is a Damn Good Remix... I listen to it All the time now...👍👍👍,"2022-04-25
20:49:32",-0.1587,negative,0.4,No,neutral
Isaacloloki123,"2022-04-25
20:47:30",0.0,neutral,0.0,No,neutral
Literally the first time I'm hearing something from him. This is awesome,"2022-04-25
20:07:03",0.6249,positive,0.6666666666666666,No,admiration
🥰🥰🥰👍👍👍👍👍👍👍perfect!!!,"2022-04-25
19:53:42",0.9744,positive,0.0,No,admiration
love this song 😍,"2022-04-25
19:09:48",0.802,positive,0.6,No,love
"Too anyone who doesn't know them, PNAU is a legendary Australian house, disco and pop artist. Legendary tune from a bunch of legendary people","2022-04-25
18:58:30",0.75,positive,0.75,No,neutral
FABULOSA!!!,"2022-04-25
18:14:23",0.0,neutral,0.0,No,neutral
Combinação perfeita!!,"2022-04-25
17:55:42",0.0,neutral,0.0,No,neutral
The most wedding song I've ever heard,"2022-04-25
17:27:52",0.5,positive,0.5,No,love
The best,"2022-04-25
16:59:36",0.6369,positive,0.3,No,admiration
Viciei nessa música que nem um mac0nheiro é viciado em heroína!!!,"2022-04-25
14:35:20",0.0,neutral,0.0,No,neutral
Cool🎶💕💗💖,"2022-04-25
12:41:58",0.9578,positive,0.0,No,neutral
Ouço todos os dias 🥰,"2022-04-25
10:44:16",0.8074,positive,0.0,No,neutral
Dua Lipa ti regalo la mia vita,"2022-04-25
09:20:28",-0.296,negative,0.0,No,neutral
Cold heart but is hot song 🥰,"2022-04-25
09:14:59",0.9267,positive,0.925,No,admiration
"ЭТО ВЕЛИКОЛЕПНО! НЕ МОГУ ПЕРЕСТАТЬ ЭТО СЛУШАТЬ, ЭТА АТМОСФЕРА, ЭТА МУЗЫКА, ЭТИ ЧУВСТВА, ЭТО ПОТРЯСАЮЩЕ ЭЛТОН ДЖОН!","2022-04-25
08:26:33",0.0,neutral,0.0,No,neutral
Ah..its the best,"2022-04-25
07:20:05",0.6369,positive,0.3,No,admiration
Love this song and video makes it even better lol cheers .,"2022-04-25
05:49:12",0.9186,positive,0.6,No,amusement
I don`t know why but this song  extremely,"2022-04-25
05:37:08",-0.125,negative,1.0,No,neutral
Jodas que verga le canción mil respeto para los 2,"2022-04-25
05:17:05",0.0,neutral,0.0,No,confusion
"Harmonia tão boa, parabéns! vocês foram perfeitos ❤️","2022-04-25
04:51:38",0.0,neutral,0.0,No,neutral
"esta muy feo el video, pero la cancion es hermosa","2022-04-25
04:37:23",0.0,neutral,0.0,No,excitement
24 de Abril del 2022 escuchando esta canción desde Argentina!!!,"2022-04-25
02:26:58",0.0,neutral,0.0,No,neutral
Ducaraleeo com vitamina de abacate!,"2022-04-25
02:05:09",0.0,neutral,0.0,No,neutral
i love u elton john 😭😭😭😭,"2022-04-25
00:52:30",-0.802,negative,0.6,No,love
It's got incredible rhythm from two different masterful artists..I love it even at age 61.....,"2022-04-25
00:17:17",0.6369,positive,0.775,No,admiration
A colaboration of two legends🔥🔥,"2022-04-24
23:57:56",-0.5859,negative,0.0,No,admiration
I love I it,"2022-04-24
23:49:21",0.6369,positive,0.6,No,love
This works a treat. Great mashup remix,"2022-04-24
21:55:08",0.7783,positive,0.75,No,admiration
Ojalá...la música del cielo se parezca a esto...una gozada para compartirla con la eternidad...,"2022-04-24
21:28:05",0.0,neutral,0.0,No,neutral
que pro,"2022-04-24
20:43:54",0.0,neutral,0.0,No,neutral
Love ♥️love ♥️love 🤗♥️,"2022-04-24
20:33:42",0.9666,positive,0.6,No,anger
The video weird asf tho🤣,"2022-04-24
20:27:37",0.3612,positive,1.0,No,curiosity
Cold heard,"2022-04-24
20:18:08",-0.6,negative,1.0,No,approval
Que batida!! Os dois artistas maravilhosos. Nunca me canso de ouvir 💃😍,"2022-04-24
20:04:51",0.555,positive,0.0,No,neutral
I call this the little grandmas,"2022-04-24
19:54:34",-0.1875,negative,0.5,Yes,neutral
I can’t hear this song anymore,"2022-04-24
18:58:31",0.0,neutral,0.0,No,neutral
'........mmmm.....',"2022-04-24
17:57:45",0.0,neutral,0.0,No,neutral
baby bro loves this song!,"2022-04-24
17:44:23",0.6114,positive,0.0,No,love
